account_id,customer_id,account_type,balance,currency,account_state
710000002,700000001,CHEQUING,1000.00,CAD,ACTIVE
710000001,700000001,SAVINGS,2000.00,CAD,ACTIVE
710000004,700000002,CHEQUING,1000.00,CAD,ACTIVE
710000003,700000002,SAVINGS,2000.00,CAD,ACTIVE
710000005,700000003,CHEQUING,1000.00,CAD,ACTIVE
710000006,700000003,SAVINGS,2000.00,CAD,ACTIVE
710000007,700000005,CHEQUING,1000.00,CAD,ACTIVE
710000009,700000005,SAVINGS,2000.00,CAD,ACTIVE
710000010,700000007,CHEQUING,1000.00,CAD,ACTIVE
710000008,700000007,SAVINGS,2000.00,CAD,ACTIVE
710000016,700000004,CHEQUING,1000.00,CAD,ACTIVE
710000011,700000004,SAVINGS,2000.00,CAD,ACTIVE
710000012,700000006,CHEQUING,1000.00,CAD,ACTIVE
710000021,700000006,SAVINGS,2000.00,CAD,ACTIVE
710000024,700000008,CHEQUING,1000.00,CAD,ACTIVE
710000013,700000008,SAVINGS,2000.00,CAD,ACTIVE
710000014,700000009,CHEQUING,1000.00,CAD,ACTIVE
710000028,700000009,SAVINGS,2000.00,CAD,ACTIVE
710000029,700000010,CHEQUING,1000.00,CAD,ACTIVE
710000015,700000010,SAVINGS,2000.00,CAD,ACTIVE
710000017,700000011,CHEQUING,1000.00,CAD,ACTIVE
710000032,700000011,SAVINGS,2000.00,CAD,ACTIVE
710000034,700000012,CHEQUING,1000.00,CAD,ACTIVE
710000018,700000012,SAVINGS,2000.00,CAD,ACTIVE
710000019,700000013,CHEQUING,1000.00,CAD,ACTIVE
710000035,700000013,SAVINGS,2000.00,CAD,ACTIVE
710000037,700000014,CHEQUING,1000.00,CAD,ACTIVE
710000020,700000014,SAVINGS,2000.00,CAD,ACTIVE
710000022,700000015,CHEQUING,1000.00,CAD,ACTIVE
710000038,700000015,SAVINGS,2000.00,CAD,ACTIVE
710000039,700000016,CHEQUING,1000.00,CAD,ACTIVE
710000023,700000016,SAVINGS,2000.00,CAD,ACTIVE
710000025,700000017,CHEQUING,1000.00,CAD,ACTIVE
710000040,700000017,SAVINGS,2000.00,CAD,ACTIVE
710000041,700000018,CHEQUING,1000.00,CAD,ACTIVE
710000026,700000018,SAVINGS,2000.00,CAD,ACTIVE
710000027,700000019,CHEQUING,1000.00,CAD,ACTIVE
710000042,700000019,SAVINGS,2000.00,CAD,ACTIVE
710000043,700000022,CHEQUING,1000.00,CAD,ACTIVE
710000030,700000022,SAVINGS,2000.00,CAD,ACTIVE
